Theta,Gamma,Current0,Current1,Seq,sp_theta,sp_gamma
-0.056000002,0.927999973,5.231999874,-2.786000013,0,0,1.383102894
-0.02,0.934000015,5.671000004,-5.330999851,0.039433606,0,1.633494377
0.014,0.961000025,7.961999893,-8.902999878,0.078867211,0,1.893163085
0.050000001,1.014000058,9.340999603,-12.42000008,0.118300817,0,2.036633968
0.075999998,1.07099998,10.02400017,-13.79599953,0.157734422,0,1.962682366
0.090999998,1.101999998,7.769999981,-12.97999954,0.197168028,0,1.729244113
0.096000001,1.092000008,6.039999962,-10.69299984,0.236601633,0,1.453259349
0.101000004,1.021000028,2.525000095,-8.230999947,0.276035239,0,1.292680264
0.090000004,0.953999996,1.963999987,-6.664000034,0.315468844,0,1.165534258
0.064999998,0.904999971,1.896999955,-4.927999973,0.35490245,0,1.058217645
0.041000001,0.884000003,0.681999981,-3.005000114,0.394336055,0,0.977033913
0.016000001,0.883000016,0.317999989,-1.25999999,0.433769661,0,0.928999305
-0.017999999,0.888000011,0.930000007,0.398000002,0.473203266,0,0.9198789
-0.041999999,0.911000013,1.269999981,1.154999971,0.512636872,0,0.950744629
-0.052999999,0.921999991,1.730000019,0.875999987,0.552070477,0,1.017649055
-0.059,0.934000015,2.530999899,0.493000001,0.591504083,0,1.114444971
-0.068000004,0.93599999,3.855999947,-0.735000014,0.630937688,0,1.233143926
-0.054000001,0.925999999,5.046999931,-2.790999889,0.670371294,0,1.368330836
-0.02,0.930999994,6.25,-5.296000004,0.709804899,0,1.604523659
0.013,0.961000025,7.431000233,-8.555999756,0.749238505,0,1.869219184
0.050999999,1.013000011,9.140000343,-11.95400047,0.78867211,0,2.030978918
0.079000004,1.067999959,9.258999825,-13.79399967,0.828105716,0,1.980174184
0.096000001,1.095999956,8.795999527,-13.32699966,0.867539321,0,1.757203937
0.101000004,1.090000033,6.15899992,-11.16600037,0.906972927,0,1.481701851
0.107000001,1.024000049,3.157000065,-8.772999763,0.946406532,0,1.306792498
0.100000001,0.962000012,2.329999924,-6.926000118,0.985840138,0,1.177982688
0.075000003,0.904999971,1.896999955,-5.282000065,1.025273743,0,1.068344593
0.046999998,0.875999987,1.605000019,-3.345000029,1.064707349,0,0.983796418
0.018999999,0.882000029,1.312999964,-1.493999958,1.104140954,0,0.932250261
-0.017000001,0.887000024,0.850000024,0.172999993,1.14357456,0,0.918976545
-0.041999999,0.911000013,1.069000006,1.210999966,1.183008165,0,0.945734084
-0.054000001,0.924000025,1.628999949,1.072000027,1.222441771,0,1.00947988
-0.064999998,0.93900001,2.523000002,0.795000017,1.261875376,0,1.103195548
-0.068999998,0.93900001,3.897000074,-0.532000005,1.301308982,0,1.220408916
-0.054000001,0.925000012,4.921999931,-2.614000082,1.340742587,0,1.353671074
-0.018999999,0.934000015,5.454999924,-4.986000061,1.380176193,0,1.576689363
0.014,0.957000017,7.181000233,-8.194000244,1.419609798,0,1.844214082
0.052999999,1.008000016,8.798999786,-11.75300026,1.459043404,0,2.023185968
0.083999999,1.059000015,9.239999771,-13.76799965,1.498477009,0,1.99571681
0.100000001,1.090999961,8.484999657,-13.72999954,1.537910615,0,1.78358531
0.105999999,1.088000059,6.294000149,-11.3380003,1.57734422,0,1.510357499
0.111000001,1.02699995,3.394999981,-9.102999687,1.616777826,0,1.32047081
0.108000003,0.968999982,1.875,-7.214000225,1.656211431,0,1.190633655
0.082000002,0.910000026,1.690000057,-5.427999973,1.695645037,0,1.078327537
0.050999999,0.878000021,2.003000021,-3.572999954,1.735078642,0,0.991191387
0.022,0.883000016,1.121999979,-1.656000018,1.774512248,0,0.935768485
-0.016000001,0.888000011,1.039999962,-0.199000001,1.813945853,0,0.91846925
-0.041999999,0.911000013,1.187000036,1.246999979,1.853379459,0,0.941303849
-0.055,0.924000025,1.631999969,1.187999964,1.892813064,0,1.001294255
-0.066,0.939999998,2.440999985,0.878000021,1.93224667,0,1.092631578
-0.071999997,0.944000006,3.765000105,-0.140000001,1.971680275,0,1.207319379
-0.057999998,0.927999973,5.010000229,-2.329999924,2.011113881,0,1.339129806
-0.024,0.934000015,5.156000137,-4.664000034,2.050547487,0,1.547733307
0.011,0.957000017,6.868000031,-7.958000183,2.089981092,0,1.81829834
0.050999999,1.003999949,8.532999992,-11.61600018,2.129414698,0,2.012700796
0.085000001,1.054999948,9.595000267,-14.02499962,2.168848303,0,2.009150743
0.104999997,1.087000012,8.934000015,-14.13700008,2.208281909,0,1.810473442
0.112999998,1.085000038,5.702000141,-12.43700027,2.247715514,0,1.539178371
0.119000003,1.031999946,3.661999941,-9.940999985,2.28714912,0,1.334849119
0.119999997,0.976000011,1.875,-7.787000179,2.326582725,0,1.203480124
0.094999999,0.912,2.073999882,-6.104000092,2.366016331,0,1.088989973
0.061999999,0.876999974,1.296000004,-3.874000072,2.405449936,0,0.998936057
0.028999999,0.880999982,0.536000013,-1.802999973,2.444883542,0,0.939842284
-0.008,0.88499999,0.917999983,-0.166999996,2.484317147,0,0.918403804
-0.037999999,0.907999992,0.95599997,1.166000009,2.523750753,0,0.937091172
-0.055,0.925000012,1.585000038,1.376000047,2.563184358,0,0.993447661
-0.067000002,0.940999985,2.328999996,1.00999999,2.602617964,0,1.081880569
-0.075000003,0.950999975,3.664000034,0.145999998,2.642051569,0,1.194416285
-0.064000003,0.930999994,4.864999771,-1.944000006,2.681485175,0,1.32528758
-0.032000002,0.92900002,5.157999992,-4.239999771,2.72091878,0,1.518873692
0.009,0.957000017,6.613999844,-7.504000187,2.760352386,0,1.792693138
0.052999999,1.003000021,8.095999718,-11.31000042,2.799785991,0,1.999919891
0.088,1.049000025,9.630999565,-13.92399979,2.839219597,0,2.019927025
0.109999999,1.08099997,8.744999886,-14.77999973,2.878653202,0,1.836631298
0.122000001,1.08099997,6.480999947,-12.52900028,2.918086808,0,1.566952825
