Theta,Gamma,Theta_dot,Gamma_dot,Current 0,Current 1 ,Foot Force
-0.056000002,0.927999973,0.00144,0.000240002,5.231999874,-2.786000013,3.961152551
-0.02,0.934000015,0.00136,0.00108,5.671000004,-5.330999851,5.973365953
0.014,0.961000025,0.00144,0.002120001,7.961999893,-8.902999878,9.503133816
0.050000001,1.014000058,0.00104,0.002279997,9.340999603,-12.42000008,12.72859122
0.075999998,1.07099998,0.0006,0.001240001,10.02400017,-13.79599953,14.13013055
0.090999998,1.101999998,0.0002,-0.0004,7.769999981,-12.97999954,12.77466114
0.096000001,1.092000008,0.0002,-0.002839999,6.039999962,-10.69299984,10.40983761
0.101000004,1.021000028,-0.00044,-0.002680001,2.525000095,-8.230999947,7.318598659
0.090000004,0.953999996,-0.001,-0.001960001,1.963999987,-6.664000034,5.947263033
0.064999998,0.904999971,-0.00096,-0.000839999,1.896999955,-4.927999973,4.550213853
0.041000001,0.884000003,-0.001,-4.00E-05,0.681999981,-3.005000114,2.592039884
0.016000001,0.883000016,-0.00136,0.0002,0.317999989,-1.25999999,1.0781803
-0.017999999,0.888000011,-0.00096,0.00092,0.930000007,0.398000002,0.046188356
-0.041999999,0.911000013,-0.00044,0.000439999,1.269999981,1.154999971,-0.341957789
-0.052999999,0.921999991,-0.00024,0.000480001,1.730000019,0.875999987,0.05163681
-0.059,0.934000015,-0.00036,8.00E-05,2.530999899,0.493000001,0.642819794
-0.068000004,0.93599999,0.00056,-0.0004,3.855999947,-0.735000014,2.015231703
-0.054000001,0.925999999,0.00136,0.0002,5.046999931,-2.790999889,3.893753598
-0.02,0.930999994,0.00132,0.001200001,6.25,-5.296000004,6.166619598
0.013,0.961000025,0.00152,0.002079999,7.431000233,-8.555999756,9.048305925
0.050999999,1.013000011,0.00112,0.002199998,9.140000343,-11.95400047,12.31043114
0.079000004,1.067999959,0.00068,0.00112,9.258999825,-13.79399967,13.86458687
0.096000001,1.095999956,0.0002,-0.000239997,8.795999527,-13.32699966,13.4329131
