Theta,Gamma,Theta_dot,Gamma_dot
-0.001,1.034999967,-0.0004,0.00052
-0.011,1.047999978,0.0004,-0.00072
-0.001,1.029999971,-4.00E-05,0.000120001
-0.002,1.032999992,0.001,0.004759998
0.023,1.15199995,1.36E-03,0.005
0.057,1.27699995,0.00068,0.003320003
0.074000001,1.360000014,0.00064,0.001719999
0.090000004,1.402999997,0.00048,0.0002
0.101999998,1.407999992,0.00076,-0.001560001
0.120999999,1.368999958,0.00076,-0.00428
0.140000001,1.261999965,0.00044,-6.44E-03
0.150999993,1.100999951,-0.0018,-0.00368
0.105999999,1.008999944,-0.00248,-0.001039999
0.044,0.98299998,-0.00176,0.000680001
0,1,-0.00092,-3.60E-04
-0.023,0.990999997,0.00016,4.00E-05
-0.018999999,0.991999984,8.00E-05,0.0002
-0.017000001,0.996999979,-0.00088,0.000760002
-0.039000001,1.016000032,0.00112,-0.000680001
-0.011,0.999000013,0.00024,0.000439999
-0.005,1.00999999,0.00104,5.20E-03
0.021,1.139999986,0.00132,0.00572
0.054000001,1.282999992,0.00064,0.00336
0.07,1.366999984,0.00048,0.001719999
0.082000002,1.409999967,4.40E-04,0.000240002
0.093000002,1.416000009,1.04E-03,-0.00164
0.119000003,1.375,-3.60E-04,-0.003839998
0.109999999,1.279000044,0.001,-0.006240001
0.135000005,1.123000026,-1.44E-03,-0.004120002
0.098999999,1.019999981,-0.0024,-0.001199999
0.039000001,0.99000001,-0.0018,0.000279999
-0.006,0.996999979,-0.00036,-0.0002
-0.015,0.991999984,0,0
-0.015,0.991999984,-0.0002,0.000120001
-0.02,0.995000005,-2.00E-04,-4.00E-05
-0.025,0.994000018,0.00208,-4.00E-05
0.027000001,0.992999971,0.00048,0.000480001
0.039000001,1.004999995,0.00148,0.014440002
0.075999998,1.366000056,0.0004,0.001919999
0.086000003,1.414000034,0.00044,0.00052
0.097000003,1.427000046,0.00072,-0.001400003
0.115000002,1.39199996,-0.00024,-0.003919997
0.108999997,1.29400003,1.40E-03,-0.006600003
0.143999994,1.128999949,-0.0014,-0.00448
0.108999997,1.01699996,-0.00252,-0.000839999
0.046,0.995999992,-0.00168,0.000280001
0.004,1.003000021,-0.00076,-0.000400002
-0.015,0.992999971,0,0
-0.015,0.992999971,0,0.000120001
-0.015,0.995999992,-0.00032,0.000839999
-0.023,1.01699996,3.60E-04,-1.16E-03
-0.014,0.987999976,5.60E-04,1.20E-04
0,0.990999997,0.00108,0.004599998
0.027000001,1.105999947,1.60E-03,6.12E-03
0.067000002,1.258999944,0.00096,0.003640003
0.090999998,1.350000024,0.00084,0.002199998
0.112000003,1.404999971,0.0004,4.80E-04
0.122000001,1.417000055,0.00048,-0.001240001
0.134000003,1.386000037,5.20E-04,-0.00388
0.147,1.289000034,0.001,-0.005999999
0.172000006,1.139000058,-0.0018,-0.004880004
0.127000004,1.01699996,-0.00228,-0.001119998
0.07,0.989000022,-0.00176,0.00056
0.026000001,1.003000021,-8.00E-05,-0.000120001
0.024,1,-4.00E-05,-4.00E-05
0.023,0.999000013,8.00E-05,1.60E-04
0.025,1.003000021,-0.00072,0.000759997
0.007,1.021999955,0.00E+00,-0.000279999
0.007,1.014999986,6.00E-04,-4.80E-04
0.022,1.003000021,6.00E-04,0.003959999
0.037,1.101999998,1.32E-03,6.16E-03
0.07,1.256000042,0.00092,0.003999996
0.093000002,1.355999947,0.00068,0.001960001
0.109999999,1.404999971,0.00036,0.000440001
0.119000003,1.416000009,0.00064,-0.001040001
0.135000005,1.389999986,1.00E-03,-0.00336
0.159999996,1.305999994,0.00116,-0.00592
0.188999996,1.157999992,-0.00124,-0.004639997
0.158000007,1.042000055,-0.0028,-2.28E-03
0.088,0.985000014,-0.0022,0.000799999
0.033,1.004999995,-0.0008,0.000120001
0.013,1.008000016,-0.00016,-0.0002
0.009,1.003000021,-0.00036,8.00E-05
0,1.004999995,-0.00028,0.000960002
-0.007,1.029000044,-0.00032,-4.00E-04
-0.015,1.019000053,6.40E-04,-1.28E-03
0.001,0.986999989,0.00064,0.003800001
0.017000001,1.082000017,0.00148,0.006560001
0.054000001,1.246000052,0.00136,0.003799996
0.088,1.340999961,0.00088,0.002280002
0.109999999,1.398000002,0.0004,0.00072
0.119999997,1.416000009,0.00032,-0.000879998
0.128000006,1.394000053,0.00084,-0.003280001
0.149000004,1.312000036,0.00136,-0.005680003
0.182999998,1.169999957,-6.80E-04,-0.00428
0.165999994,1.062999964,-2.60E-03,-0.002559998
0.101000004,0.999000013,-0.00252,0.00016
0.037999999,1.003000021,-0.00112,0.000359998
0.01,1.011999965,-0.00028,-8.00E-05
0.003,1.00999999,-0.00012,-8.00E-05
0,1.008000016,0.00016,0.000599999
0.004,1.023000002,-0.00012,-0.0002
0.001,1.018000007,6.40E-04,-0.000479999
0.017000001,1.006000042,0.00076,0.002519999
0.035999998,1.069000006,0.00152,0.005559998
0.074000001,1.207999945,0.00152,0.004120002
0.112000003,1.31099999,0.00124,0.002880001
0.143000007,1.383000016,0.00056,0.001159997
0.157000005,1.411999941,0.00028,-0.0004
0.164000005,1.40199995,7.20E-04,-0.002839999
0.181999996,1.33099997,0.001,-0.005479999
0.207000002,1.194000006,-1.16E-03,-0.005240002
0.178000003,1.062999964,-0.00264,-0.00244
0.112000003,1.001999974,-0.00264,0.000440001
0.046,1.013000011,-0.00128,0.000559998
0.014,1.02699995,-0.00012,-0.000319996
0.011,1.019000053,0,8.00E-05
0.011,1.021000028,-0.00028,0.000679998
0.004,1.037999988,-0.00016,-0.001040001
0,1.011999965,-2.04E-03,0.001960001
-0.050999999,1.06099999,0.00048,0.000240002
-0.039000001,1.067000031,0.002,0.005279999
0.011,1.199000001,0.00196,0.00408
0.059999999,1.300999999,0.00152,0.00296
0.097999997,1.375,0.00064,0.001199999
0.114,1.404999971,0.00024,-0.000359998
0.119999997,1.396000028,0.00076,-0.002520003
0.138999999,1.332999945,0.00044,-0.005319996
0.150000006,1.200000048,-0.00056,-5.12E-03
0.136000007,1.072000027,-0.00256,-0.002600002
0.071999997,1.006999969,-0.0024,-0.0004
0.012,0.996999979,-0.00128,0.000120001
-0.02,1,0.00012,-0.0002
-0.017000001,0.995000005,-4.00E-05,4.00E-05
-0.017999999,0.995999992,-8.00E-05,0.000639999
-0.02,1.011999965,-0.00108,0.001040001
-0.046999998,1.037999988,0.00032,-0.001599998
-0.039000001,0.998000026,0.00032,0.001799998
-0.030999999,1.042999983,0.00128,0.005999999
0.001,1.192999959,0.00164,0.004560003
0.041999999,1.307000041,0.00132,0.003039999
0.075000003,1.383000016,7.20E-04,0.000959997
0.093000002,1.406999946,0.00036,-0.000519996
0.101999998,1.394000053,0.00108,-0.002280002
0.128999993,1.337000012,0.00112,-0.005240002
0.157000005,1.20599997,-0.00016,-0.0052
0.152999997,1.075999975,-0.00228,-0.002599998
0.096000001,1.011000037,-0.00256,-0.000360003
0.032000002,1.001999974,-0.00128,0.000640001
0,1.018000007,8.00E-05,-0.000120001
0.002,1.014999986,4.00E-05,0
0.003,1.014999986,-0.00012,0.00072
0,1.032999992,-0.0004,-0.000359998
-0.01,1.024000049,-0.00032,0.000239997
-0.017999999,1.029999971,-0.00068,0
-0.035,1.029999971,1.56E-03,0.00572
0.004,1.172999978,0.00204,0.0048
0.055,1.292999983,0.00128,0.002480001
0.086999997,1.355000019,0.00084,0.001560001
0.108000003,1.394000053,0.00036,0.000159998
0.116999999,1.398000002,0.00076,-0.002480001
0.136000007,1.335999966,0.000919999,-0.004879999
0.158999994,1.213999987,-0.00032,-0.004759998
0.150999993,1.095000029,-0.002,-0.002520003
0.101000004,1.031999946,-0.00244,-0.001079998
0.039999999,1.004999995,-0.00124,0.000640001
0.009,1.021000028,8.00E-05,-8.00E-05
0.011,1.019000053,0,0
0.011,1.019000053,0,0.000279999
0.011,1.026000023,-0.00028,0.00184
0.004,1.072000027,0.00E+00,-0.002680001
0.004,1.004999995,4.40E-04,0.000999999
0.015,1.029999971,1.08E-03,0.006040001
0.041999999,1.180999994,0.00128,0.005
0.074000001,1.305999994,0.0008,0.002600002
0.093999997,1.371000052,0.0006,0.001399999
0.108999997,1.406000018,0.00024,0
0.115000002,1.406000018,0.00068,-0.001680002
0.131999999,1.363999963,0.001,-0.004239998
0.157000005,1.258000016,0.0002,-0.006240001
0.162,1.101999998,-0.002,-0.003959999
0.112000003,1.003000021,-0.00272,-0.000880001
0.044,0.981000006,-0.00128,0.00076
0.012,1,-0.00044,-0.000599999
0.001,0.985000014,-4.00E-05,-4.00E-05
0,0.984000027,-0.00016,0.0004
-0.004,0.994000018,-0.00036,0.002720001
-0.013,1.062000036,8.00E-05,-2.24E-03
-0.011,1.006000042,2.40E-04,0.000320001
-0.005,1.014000058,0.00124,0.005759997
0.026000001,1.157999992,0.00184,0.005
0.071999997,1.282999992,0.00116,0.002600002
0.101000004,1.34800005,0.0008,0.00184
0.120999999,1.394000053,0.00028,0.000599999
0.128000006,1.409000039,0.00036,-0.00152
0.136999995,1.371000052,0.00068,-0.00408
0.153999999,1.269000053,0.0008,-0.005440001
0.173999995,1.133000016,-0.00204,-0.00448
0.123000003,1.021000028,-0.0028,-0.002
0.052999999,0.971000016,-0.00228,0.0004
-0.004,0.981000006,8.00E-05,-0.00016
-0.002,0.976999998,-4.00E-05,4.00E-05
-0.003,0.977999985,-4.00E-05,0.000240002
-0.004,0.984000027,-0.00068,0.00148
-0.021,1.021000028,0.00052,-0.001160002
-0.008,0.991999984,2.40E-04,0.00072
-0.002,1.00999999,0.00112,0.005679998
0.026000001,1.15199995,1.40E-03,0.005040002
0.061000001,1.277999997,0.00076,0.002639999
0.079999998,1.343999982,0.00064,0.001560001
0.096000001,1.383000016,0.00048,0.000679998
0.108000003,1.399999976,0.00068,-0.001079998
0.125,1.373000026,0.00024,-0.004200001
0.130999997,1.268000007,0.0008,-0.005679998
0.150999993,1.126000047,-0.00132,-0.00348
0.118000001,1.039000034,-0.00232,-0.001680002
0.059999999,0.996999979,-1.56E-03,0.000160003
0.021,1.001000047,-4.00E-05,0
0.02,1.001000047,-0.00056,-2.40E-04
0.006,0.995000005,-0.00068,0.000359998
-0.011,1.003999949,-0.0004,-7.60E-04
-0.021,0.985000014,0.00184,4.00E-05
0.025,0.986000001,0.00068,1.32E-03
0.041999999,1.019000053,0.00024,0.004039998
0.048,1.120000005,0.00148,0.005999999
0.085000001,1.269999981,0.0008,0.003520002
0.104999997,1.35800004,0.00052,0.001799998
0.118000001,1.402999997,3.60E-04,0.000279999
0.127000004,1.409999967,0.00056,-0.001279998
0.141000003,1.378000021,0.00112,-0.003239999
0.169,1.297000051,0.00072,-0.005680003
0.187000006,1.154999971,-0.00132,-0.003759999
0.153999999,1.06099999,-0.00272,-0.001879997
0.086000003,1.014000058,-0.00236,-0.000480003
0.027000001,1.001999974,-0.0012,-0.000119998
-0.003,0.999000013,-0.00072,-1.60E-04
-0.021,0.995000005,-0.00024,0.000359998
-0.027000001,1.003999949,-0.0002,0.000280004
-0.032000002,1.011000037,0,-4.00E-05
-0.032000002,1.00999999,0.0012,-0.000120001
-0.002,1.006999969,0.0012,0.004520001
0.028000001,1.120000005,0.00184,0.005599999
0.074000001,1.25999999,0.00132,0.003520002
0.107000001,1.34800005,0.00108,0.002199998
0.134000003,1.402999997,4.40E-04,0.000760002
0.144999996,1.422000051,0.00036,-0.000760002
0.153999999,1.402999997,0.00084,-0.003400002
0.174999997,1.317999959,0.001,-0.00572
0.200000003,1.174999952,-0.00132,-0.004719996
0.166999996,1.057000041,-0.00312,-0.002880001
0.089000002,0.985000014,-2.56E-03,6.80E-04
0.025,1.001999974,-6.80E-04,2.40E-04
0.008,1.008000016,-1.04E-03,-6.00E-04
-0.017999999,0.992999971,0,0.000200002
-0.017999999,0.998000026,-2.80E-04,0.000679998
-0.025,1.014999986,0.00032,-0.000440001
-0.017000001,1.003999949,0.00048,-0.000519998
-0.005,0.990999997,0.00136,0.004080002
0.028999999,1.093000054,0.00204,0.005559998
0.079999998,1.231999993,0.00132,0.003600001
0.112999998,1.322000027,0.001,0.002360001
0.137999997,1.381000042,0.0006,0.001199999
0.152999997,1.411000013,0.00048,-6.40E-04
0.165000007,1.394999981,0.00036,-0.003800001
0.173999995,1.299999952,0.00124,-0.005
0.204999998,1.174999952,-0.0006,-0.004399996
0.189999998,1.065000057,-0.00252,-0.002640002
0.127000004,0.999000013,-2.92E-03,-2.80E-04
0.054000001,0.991999984,-0.002,0.000280001
0.004,0.999000013,-0.00044,-0.000480001
-0.007,0.986999989,-2.40E-04,3.20E-04
-0.013,0.995000005,-0.00044,0.000479999
-0.024,1.006999969,0.0002,-0.000519998
-0.018999999,0.994000018,0.00064,-0.00056
-0.003,0.980000019,0.00076,0.003559999
0.016000001,1.069000006,0.00176,0.006160002
