Theta,Gamma,Theta_dot,Gamma_dot
0.077,1.105000019,-0.00012,0.000279999
0.074000001,1.111999989,-0.0002,-0.001760001
0.068999998,1.067999959,-0.00072,-0.002799997
0.050999999,0.998000026,-4.00E-05,-0.00184
0.050000001,0.952000022,4.00E-05,-0.00056
0.050999999,0.938000023,0.00E+00,-0.000680001
0.050999999,0.921000004,-0.00032,-0.000120001
0.043000001,0.917999983,-0.00052,0.0004
0.029999999,0.927999973,-9.60E-04,1.00E-03
0.006,0.953000009,1.20E-04,0.00E+00
0.009,0.953000009,6.80E-04,-5.60E-04
0.026000001,0.93900001,0.0008,-0.00056
0.046,0.925000012,0.00016,-0.00036
0.050000001,0.916000009,1.20E-04,0.000439999
0.052999999,0.926999986,4.40E-04,2.44E-03
0.064000003,0.987999976,4.40E-04,0.002760003
0.075000003,1.057000041,0.0004,0.00204
0.085000001,1.10800004,-8.00E-05,0.000159998
0.082999997,1.111999989,-0.00024,-1.60E-03
0.077,1.072000027,-0.00044,-0.002639999
0.066,1.006000042,-0.00016,-0.002160001
0.061999999,0.952000022,1.20E-04,-0.000480001
0.064999998,0.939999998,0,-2.40E-04
0.064999998,0.934000015,-0.00036,-8.00E-05
0.056000002,0.931999981,-0.00084,0.000120001
0.035,0.935000002,-0.00092,0.000799999
0.012,0.954999983,-2.00E-04,2.00E-04
0.007,0.959999979,6.40E-04,-6.00E-04
0.023,0.944999993,0.00088,-3.60E-04
0.045000002,0.93599999,8.00E-05,-0.00072
0.046999998,0.917999983,1.60E-04,2.80E-04
0.050999999,0.925000012,0.00048,2.52E-03
0.063000001,0.987999976,0.00044,0.002720001
0.074000001,1.055999994,0.00036,0.001880002
0.082999997,1.103000045,-4.00E-05,2.80E-04
0.082000002,1.110000014,-0.0002,-0.00112
0.077,1.082000017,-3.20E-04,-0.002519999
0.068999998,1.019000053,-4.00E-05,-0.002320001
0.068000004,0.961000025,-0.00016,-0.000680001
0.064000003,0.944000006,4.00E-05,-0.000280001
0.064999998,0.936999977,-2.80E-04,-0.000159998
0.057999998,0.933000028,-0.00096,8.00E-05
0.034000002,0.935000002,-0.001,0.00076
0.009,0.953999996,-2.00E-04,2.40E-04
0.004,0.959999979,6.40E-04,-0.000599999
0.02,0.944999993,0.00092,-0.000120001
0.043000001,0.941999972,0.00016,-0.000919998
0.046999998,0.91900003,1.20E-04,0.000159998
0.050000001,0.922999978,0.00056,0.0022
0.064000003,0.977999985,4.40E-04,0.0026
0.075000003,1.042999983,0.00036,0.002160001
0.083999999,1.097000003,0,0.000679998
0.083999999,1.113999963,-0.0002,-9.60E-04
0.079000004,1.090000033,-2.00E-04,-0.002520003
0.074000001,1.02699995,-0.00024,-0.002439997
0.068000004,0.966000021,-2.00E-04,-0.00076
0.063000001,0.947000027,0.00E+00,-0.00036
0.063000001,0.938000023,-0.00036,-0.00036
0.054000001,0.92900002,-0.00072,0.000119998
0.035999998,0.931999981,-0.00112,0.001000001
