Theta,Gamma,Theta_dot,Gamma_dot
-0.056000002,0.927999973,0.00144,0.000240002
-0.02,0.934000015,0.00136,0.00108
0.014,0.961000025,0.00144,0.002120001
0.050000001,1.014000058,0.00104,0.002279997
0.075999998,1.07099998,0.0006,0.001240001
0.090999998,1.101999998,0.0002,-0.0004
0.096000001,1.092000008,0.0002,-0.002839999
0.101000004,1.021000028,-0.00044,-0.002680001
0.090000004,0.953999996,-0.001,-0.001960001
0.064999998,0.904999971,-0.00096,-0.000839999
0.041000001,0.884000003,-0.001,-4.00E-05
0.016000001,0.883000016,-0.00136,0.0002
-0.017999999,0.888000011,-0.00096,0.00092
-0.041999999,0.911000013,-0.00044,0.000439999
-0.052999999,0.921999991,-0.00024,0.000480001
-0.059,0.934000015,-0.00036,8.00E-05
-0.068000004,0.93599999,0.00056,-0.0004
-0.054000001,0.925999999,0.00136,0.0002
-0.02,0.930999994,0.00132,0.001200001
0.013,0.961000025,0.00152,0.002079999
0.050999999,1.013000011,0.00112,0.002199998
0.079000004,1.067999959,0.00068,0.00112
0.096000001,1.095999956,0.0002,-0.000239997
0.101000004,1.090000033,0.00024,-0.002639999
0.107000001,1.024000049,-0.00028,-0.002480001
0.100000001,0.962000012,-0.001,-0.002280002
0.075000003,0.904999971,-0.00112,-0.001159999
0.046999998,0.875999987,-0.00112,0.000240002
0.018999999,0.882000029,-0.00144,0.0002
-0.017000001,0.887000024,-0.001,0.00096
-0.041999999,0.911000013,-0.00048,0.00052
-0.054000001,0.924000025,-0.00044,0.000599999
-0.064999998,0.93900001,-0.00016,0
-0.068999998,0.93900001,0.0006,-0.00056
-0.054000001,0.925000012,0.0014,0.00036
-0.018999999,0.934000015,0.00132,0.00092
0.014,0.957000017,0.00156,0.00204
0.052999999,1.008000016,0.00124,0.00204
0.083999999,1.059000015,0.00064,0.001279998
0.100000001,1.090999961,0.00024,-0.000119996
0.105999999,1.088000059,0.0002,-0.002440004
0.111000001,1.02699995,-0.00012,-0.002319999
0.108000003,0.968999982,-0.00104,-0.002359998
0.082000002,0.910000026,-0.00124,-0.00128
0.050999999,0.878000021,-0.00116,0.0002
0.022,0.883000016,-0.00152,0.0002
-0.016000001,0.888000011,-0.00104,0.00092
-0.041999999,0.911000013,-0.00052,0.00052
-0.055,0.924000025,-0.00044,0.000639999
