Theta,Gamma,Theta_dot,Gamma_dot
-0.009,1.111999989,0,-0.000240002
-0.009,1.105999947,0,0
-0.009,1.105999947,-4.00E-05,0
-0.01,1.105999947,0.00012,0.000440001
-0.007,1.116999984,8.00E-05,-0.001879997
-0.005,1.070000052,0.00016,-0.001080003
-0.001,1.042999983,0.00052,0.0004
0.012,1.052999973,0.00092,0.003720002
0.035,1.146000028,0.001,0.00296
0.059999999,1.220000029,0.00128,0.002199998
0.092,1.274999976,-0.0002,-5.00E-03
0.086999997,1.149999976,-0.00064,-0.003199997
0.071000002,1.070000052,-0.00012,-0.000840001
0.068000004,1.049000025,-0.00016,-0.0002
0.064000003,1.04400003,-0.00068,8.00E-05
0.046999998,1.046000004,-0.00056,3.20E-04
0.033,1.05400002,-0.0006,-0.000279999
0.017999999,1.047000051,-0.00056,-0.000320001
0.004,1.039000034,0.0002,-0.00072
0.009,1.021000028,0.00092,-0.000240002
0.032000002,1.014999986,0.00048,-4.00E-05
0.044,1.014000058,0.0002,0.001599998
0.048999999,1.05400002,0.0008,0.00388
0.068999998,1.151000023,0.00032,0.00276
0.077,1.220000029,4.00E-05,0.002399998
0.078000002,1.279999971,-4.00E-05,0.00092
0.077,1.302999973,8.00E-05,-0.001359997
0.079000004,1.269000053,-0.00012,-0.005080004
0.075999998,1.14199996,8.00E-05,-0.004200001
0.078000002,1.036999941,-0.0006,-0.000759997
0.063000001,1.018000007,-0.00064,-0.00076
0.046999998,0.999000013,-0.00088,0.000319998
0.025,1.006999969,-0.00068,0.000599999
0.008,1.021999955,0,0
0.008,1.021999955,-4.00E-05,0
0.007,1.021999955,-0.00036,0.00052
-0.002,1.034999967,0.00088,-0.000639997
0.02,1.019000053,0.00072,-0.000400004
0.037999999,1.008999944,0.00096,0.001760001
0.061999999,1.052999973,0.00112,0.003640003
0.090000004,1.144000053,0.00036,0.001719999
0.098999999,1.187000036,0.0002,0.00276
0.104000002,1.256000042,-4.00E-05,0.001159997
0.103,1.284999967,0,-0.000599999
0.103,1.269999981,-0.00028,-0.00448
0.096000001,1.157999992,-0.00044,-0.004879999
0.085000001,1.036000013,-0.00076,-0.000599999
0.066,1.021000028,-0.001,-0.000880001
0.041000001,0.999000013,-0.00084,0.000480001
0.02,1.011000037,-0.00064,0.000559998
0.004,1.024999976,-8.00E-05,-4.00E-05
0.002,1.024000049,8.00E-05,8.00E-05
0.004,1.026000023,-0.00016,0.000439997
0,1.036999941,-8.00E-05,-4.00E-05
-0.002,1.036000013,0.00084,-0.000640001
0.018999999,1.019999981,0.00156,0.001800003
0.057999998,1.065000057,0.00108,1.92E-03
0.085000001,1.113000035,0.00096,0.002319999
0.108999997,1.171000004,7.20E-04,0.002839999
0.127000004,1.241999984,0.00032,0.00184
0.135000005,1.287999988,-0.00012,-0.000840001
0.131999999,1.26699996,-0.00012,-0.003280001
0.128999993,1.184999943,-0.00048,-0.003719997
0.116999999,1.092000008,-0.00108,-0.002719998
0.090000004,1.024000049,-0.00116,-0.000800004
0.061000001,1.003999949,-0.00136,-4.00E-05
0.027000001,1.003000021,-0.00104,0.000959997
0.001,1.02699995,-4.00E-05,0
0,1.02699995,8.00E-05,4.00E-05
0.002,1.027999997,-8.00E-05,0.0002
0,1.032999992,-4.00E-05,4.00E-05
-0.001,1.034000039,0.00072,-0.000599999
0.017000001,1.019000053,0.00168,0.001599998
0.059,1.059000015,0.00164,0.002360001
0.100000001,1.118000031,0.00128,0.002119999
0.131999999,1.171000004,9.60E-04,0.002639999
0.156000003,1.236999989,0.00044,0.00164
0.166999996,1.277999997,0.00012,-0.000320001
0.170000002,1.269999981,0,-2.44E-03
0.170000002,1.208999991,-0.00068,-0.003719997
0.152999997,1.116000056,-0.00148,-0.003760004
0.115999997,1.021999955,-0.00164,-0.001759999
0.075000003,0.977999985,-0.0016,8.00E-05
0.035,0.980000019,-0.00128,0.00132
0.003,1.013000011,-0.0002,-8.00E-05
-0.002,1.011000037,8.00E-05,8.00E-05
0,1.013000011,-0.0004,0.000440001
-0.01,1.024000049,0.00012,0.000599999
-0.007,1.039000034,0.00052,-0.000880003
0.006,1.01699996,0.00184,0.00132
0.052000001,1.049999952,0.00188,0.00256
0.098999999,1.113999963,0.00116,0.00204
0.128000006,1.164999962,0.00112,0.002639999
0.156000003,1.230999947,0.00064,0.001720004
0.172000006,1.274000049,4.00E-05,-0.000160003
0.172999993,1.269999981,4.00E-05,-0.002079997
0.173999995,1.218000054,-0.00036,-0.003720002
0.165000007,1.125,-0.00152,-0.003439999
0.127000004,1.039000034,-0.0016,-0.002360001
0.086999997,0.980000019,-0.00184,-0.00016
0.041000001,0.976000011,-0.00128,0.001119998
0.009,1.003999949,-0.00056,0.0002
-0.005,1.008999944,8.00E-05,0
-0.003,1.008999944,0,0.000440001
-0.003,1.019999981,-0.00036,0.000960002
-0.012,1.04400003,0.00072,-0.000880003
0.006,1.021999955,0.002,0.00072
0.056000002,1.039999962,0.00188,0.001920004
0.103,1.088000059,0.00156,0.00244
0.142000005,1.149000049,1.32E-03,0.003399997
0.174999997,1.233999968,0.0006,0.001680002
0.189999998,1.276000023,4.00E-05,0.000279999
0.191,1.282999992,-0.00028,-0.002199998
0.184,1.228000045,-0.00032,-0.003720002
0.175999999,1.13499999,-0.00104,-0.003759999
0.150000006,1.041000009,-0.00208,-0.00312
0.097999997,0.963,-0.00204,-0.000280001
0.046999998,0.95599997,-0.00172,0.00184
0.004,1.001999974,-0.00032,0.000279999
-0.004,1.008999944,4.00E-05,0
-0.003,1.008999944,0.00012,0.000400004
0,1.019000053,-0.00044,0.001039996
-0.011,1.044999957,0.00076,-0.001039996
0.008,1.019000053,0.00196,0.000559998
0.057,1.032999992,0.00164,0.001440001
0.097999997,1.069000006,0.00196,0.002599998
0.147,1.133999944,0.00156,0.003840003
0.186000004,1.230000019,0.00076,0.002119999
0.204999998,1.282999992,0,4.00E-05
0.204999998,1.284000039,-0.0004,-0.002400002
0.194999993,1.223999977,-0.00012,-0.003080001
0.192000002,1.146999955,-0.0012,-0.003439999
0.162,1.06099999,-0.00184,-0.00256
0.115999997,0.996999979,-0.00208,-0.0002
0.064000003,0.991999984,-0.00156,0.000599999
0.025,1.006999969,-0.00012,0
0.022,1.006999969,0,0
0.022,1.006999969,-0.0002,0.000360003
0.017000001,1.016000032,-0.001,0.001440001
-0.008,1.052000046,-0.00016,0
-0.012,1.052000046,0.0018,-0.000680003
